Energia_Cinetica   Energia_Depositada  Particula  Pos_Interaccion  
1  650.052 keV  249.43 eV   gamma  41.9955 cm -20.1593 cm 5.63501 mm 
1  1.76792 MeV  0 eV   gamma  39.6602 cm -25.3099 cm 1 cm 
1  1.18676 MeV  0 eV   gamma  40.1586 cm -25.7197 cm -1 cm 
1  167.292 keV  14.62 eV   gamma  39.0443 cm -25.1577 cm 491.27 um 
1  1.29359 MeV  14.62 eV   gamma  30.8742 cm -21.2134 cm 7.05278 mm 
1  1.25145 MeV  0 eV   gamma  26.2243 cm -17.9135 cm 1 cm 
1  198.596 keV  0 eV   gamma  41.3763 cm -20.6293 cm 1 cm 
1  114.67 keV  14.62 eV   gamma  38.7148 cm -25.1224 cm 1.11128 mm 
1  636.074 keV  0 eV   anti_nu_e  33.9227 cm -21.52 cm 1 cm 
1  105.562 keV  28.92 eV   gamma  36.6131 cm -26.8528 cm -6.56505 mm 
1  87.3265 keV  0 eV   gamma  36.3268 cm -26.3328 cm -1 cm 
1  0.034954 eV   0 eV   neutron  40.8611 cm 48.2597 cm -1 cm 
1  0.0247767 eV   0 eV   neutron  33.3593 cm -5.60137 cm -1 cm 
1  0.0879053 eV   0 eV   neutron  38.6028 cm 15.3759 cm -1 cm 
1  0.0990062 eV   0 eV   neutron  -42.2347 cm -13.0033 cm -1 cm 
1  0.0238442 eV   0 eV   neutron  -19.682 cm 32.5943 cm -1 cm 
1  0.0528597 eV   0 eV   neutron  22.6148 cm -32.2404 cm -1 cm 
1  0.0509171 eV   0 eV   neutron  -28.2903 cm -29.8875 cm -1 cm 
1  0.0649885 eV   0 eV   neutron  -13.1794 cm 10.0704 cm -1 cm 
1  0.0844168 eV   0 eV   neutron  27.2726 cm 8.59268 cm -1 cm 
1  0.0309926 eV   0 eV   neutron  -30.7417 cm 35.159 cm -1 cm 
1  0.0828876 eV   0 eV   neutron  31.8791 cm 3.23983 cm -1 cm 
1  0.0143079 eV   0 eV   neutron  43.1944 cm -38.9142 cm -1 cm 
1  0.0118925 eV   0 eV   neutron  -41.7297 cm -36.5699 cm -1 cm 
1  0.0214846 eV   0 eV   neutron  8.71495 cm -5.55757 cm -1 cm 
