Calc. Date= 06-29-2025, Time= 11:18:17
============================== SRIM-2013.00 ==============================
 =====================================================================
 =                   Ion Energy vs Position File                     =
 =====================================================================
 =   AXIS DEFINITIONS: X=Depth, Y,Z= Lateral plane of target surface.=
 =   (If beam enters target at an angle, this tilt is in Y direction)=
 =   Shown are: Ion Number, Energy (keV), X, Y, Z Position           =
 ==================  CALCULATION   DATA  =============================
  Ion Data: Name, Mass,   Energy , Energy Interval
           Ar     039.96  2keV    10eV
 =====================================================================
Ion       Energy     Depth (X)     Y           Z       Electronic   Energy Lost to
Number    (keV)    (Angstrom)  (Angstrom)  (Angstrom)  Stop.(eV/A)  Last Recoil(eV)
------- ----------- ---------- ----------- ----------- -----------  ---------------
0000004 1.9062E+00  1.4058E+01  1.5289E-02 -2.7949E-02  9.4986E-01  9.3770E+01
0000004 1.8986E+00  1.7937E+01 -5.6215E-01  5.9260E-01  9.4798E-01  3.1077E-02
0000004 1.7884E+00  3.1572E+01 -2.5351E+00  2.7708E+00  9.2005E-01  8.3748E+01
0000004 1.6960E+00  5.6449E+01 -1.2620E+01  8.5089E+00  8.9597E-01  5.9086E+01
0000004 1.6701E+00  6.8876E+01 -1.5811E+01  1.2894E+01  8.8908E-01  2.5977E+01
0000004 1.5401E+00  8.0497E+01 -2.0014E+01  1.8349E+01  8.5378E-01  1.0598E+02
0000004 1.4753E+00  8.9886E+01 -2.6501E+01  2.5058E+01  8.3563E-01  6.4773E+01
0000004 1.1207E-01  9.7626E+01 -3.2378E+01  3.3840E+01  2.3032E-01  1.3632E+03
0000004 9.1226E-02  1.0150E+02 -2.6976E+01  3.7084E+01  2.0780E-01  2.0848E+01
0000004 8.0923E-02  1.0639E+02 -2.1821E+01  3.7280E+01  1.9571E-01  7.3507E+00
0000004 5.9396E-02  1.1159E+02 -1.7527E+01  3.5638E+01  1.6767E-01  2.1527E+01
0000004 4.8979E-02  1.1730E+02 -5.9141E+00  3.5654E+01  1.5226E-01  7.4111E+00
0000004 3.8110E-02  1.2076E+02 -9.9199E-01  3.3758E+01  1.3431E-01  8.9486E+00
