0.0381779	0.0272277
0.0467006	0.0816832
0.0544866	0.136139
0.0558528	0.190594
0.0506793	0.24505
0.0494139	0.299505
0.0492866	0.35396
0.0469357	0.408416
0.0454453	0.462871
0.0436621	0.517327
0.0418773	0.571782
0.0403066	0.626238
0.0378117	0.680693
0.0356971	0.735149
0.0334928	0.789604
0.0312758	0.844059
0.0293526	0.898515
0.0271607	0.95297
0.0246207	1.00743
0.0218668	1.06188
0.0191472	1.11634
0.0162553	1.17079
0.0133629	1.22525
0.0105268	1.2797
0.0082208	1.33416
0.00596986	1.38861
0.00406565	1.44307
0.00316554	1.49752
0.00298775	1.55198
0.00306317	1.60644
0.00317298	1.66089
0.0032306	1.71535
0.00334343	1.7698
0.00344751	1.82426
0.00355893	1.87871
0.00362178	1.93317
0.00370223	1.98762
0.00381616	2.04208
0.00394045	2.09653
0.00398852	2.15099
0.00413876	2.20545
0.00407118	2.2599
0.00405912	2.31436
0.00401215	2.36881
0.00391793	2.42327
0.00384331	2.47772
0.00377986	2.53218
0.00367679	2.58663
0.00351317	2.64109
0.00339984	2.69554
0.00322708	2.75
0.0030685	2.80446
0.00293998	2.85891
0.00269562	2.91337
0.00250103	2.96782
0.0023504	3.02228
0.00220971	3.07673
0.00203182	3.13119
0.00186841	3.18564
0.00168358	3.2401
0.00149312	3.29455
0.00132699	3.34901
0.00118148	3.40347
0.0010227	3.45792
0.000921434	3.51238
0.000791007	3.56683
0.000678681	3.62129
0.000553685	3.67574
0.000460767	3.7302
0.000383839	3.78465
0.000324206	3.83911
0.000267289	3.89356
0.000193579	3.94802
0.000156874	4.00248
0.000113331	4.05693
8.74874e-05	4.11139
7.48168e-05	4.16584
6.00345e-05	4.2203
4.62577e-05	4.27475
3.22799e-05	4.32921
1.98104e-05	4.38366
1.30728e-05	4.43812
1.0056e-05	4.49257
9.05043e-06	4.54703
8.54762e-06	4.60149
8.54762e-06	4.65594
7.03922e-06	4.7104
6.63698e-06	4.76485
7.3409e-06	4.81931
7.03922e-06	4.87376
6.13418e-06	4.92822
6.13418e-06	4.98267
5.43026e-06	5.03713
7.44146e-06	5.09158
6.3353e-06	5.14604
5.53082e-06	5.2005
3.72073e-06	5.25495
4.42465e-06	5.30941
2.91625e-06	5.36386
2.61457e-06	5.41832
3.82129e-06	5.47277
